Type;Medium;Title;Year;Director;Seen;Franchise;Franchise Complete;Length;Genre;Cast;Crew
Movie;DVD;Night at the Museum;2006;Shawn Levy;YES;YES;NO;100;;;
Movie;DVD;Night at the Museum: Battle of the Smithsonian;2009;Shawn Levy;YES;YES;NO;104;;;
Movie;BluRay;Oblivion;2013;Joseph Kosinski;NO;NO;;125;;;
Movie;BluRay;Ocean's Eight;2018;Gary Ross;YES;YES;YES;110;;;
Movie;DVD;Ocean's Eleven;2001;Stephen Soderbergh;YES;YES;YES;116;;;
Movie;DVD;Ocean's Thirteen;2007;Stephen Soderbergh;YES;YES;YES;122;;;
Movie;DVD;Ocean's Twelve;2004;Stephen Soderbergh;YES;YES;YES;125;;;
Movie;DVD;One Flew Over the Cuckoo's Nest;1975;Milos Forman;NO;NO;;128;;;
Series;DVD;One Tree Hill [Season 1];2003;Mark Schwahn;YES;YES;YES;40;;;
Series;DVD;One Tree Hill [Season 2];2004;Mark Schwahn;YES;YES;YES;40;;;
Series;DVD;One Tree Hill [Season 3];2005;Mark Schwahn;YES;YES;YES;40;;;
Series;DVD;One Tree Hill [Season 4];2006;Mark Schwahn;YES;YES;YES;40;;;
Series;DVD;One Tree Hill [Season 5];2008;Mark Schwahn;YES;YES;YES;40;;;
Series;DVD;One Tree Hill [Season 6];2008;Mark Schwahn;YES;YES;YES;40;;;
Series;DVD;One Tree Hill [Season 7];2009;Mark Schwahn;YES;YES;YES;40;;;
Series;DVD;One Tree Hill [Season 8];2010;Mark Schwahn;YES;YES;YES;40;;;
Series;DVD;One Tree Hill [Season 9];2012;Mark Schwahn;YES;YES;YES;40;;;
Movie;DVD;Ophelia;2018;Claire McCarthy;YES;NO;;110;;;
Movie;DVD;Parasite;2019;Bong Joon Ho;YES;NO;;127;;;
Movie;BluRay;Passengers;2016;Morten Tyldum;YES;NO;;116;;;
Movie;DVD;Percy Jackson & the Olympians: The Lightning Thief;2010;Chris Columbus;YES;YES;YES;114;;;
Movie;DVD;Percy Jackson: Sea of Monsters;2013;Thor Freudenthal;YES;YES;YES;102;;;
Movie;DVD;Peter Rabbit;2018;Will Gluck;YES;YES;NO;91;;;
Movie;DVD;Pitch Perfect;2012;Jason Moore;YES;YES;YES;107;;;
Movie;DVD;Pitch Perfect 2;2015;Elizabeth Banks;YES;YES;YES;110;;;
Movie;DVD;Pitch Perfect 3;2017;Trish Sie;YES;YES;YES;89;;;
Movie;DVD;Planes, Trains & Automobiles;1987;John Hughes;NO;NO;;89;;;
Movie;DVD;Planet of the Apes;1968;Franklin J. Schaffner;YES;YES;YES;107;;;
Movie;DVD;Pride and Prejudice and Zombies;2016;Burr Steers;YES;NO;;104;;;
Movie;BluRay;Project Almanac;2015;Dean Isrealite;YES;NO;;106;;;
Movie;DVD;Quantum of Solace;2008;Marc Forster;NO;YES;NO;106;;;
Movie;DVD;Qu'est-ce qu'on a fait au Bon Dieu?;2014;Philippe de Chauveron;YES;YES;NO;93;;;
Movie;DVD;Raiders of the Lost Ark;1981;Steven Spielberg;YES;YES;YES;111;;;
Movie;DVD;Rat Race;2001;Jerry Zucker;YES;NO;;107;;;
Movie;DVD;Ratatouille;2007;Brad Bird;YES;NO;;108;;;
Movie;BluRay;Ready Player One;2018;Steven Spielberg;YES;NO;;140;;;
Movie;DVD;Red Sparrow;2018;Francis Lawrence;YES;NO;;134;;;
Movie;BluRay;Richard Jewell;2019;Clint Eastwood;NO;NO;;131;;;
Movie;BluRay;Rise of the Planet of the Apes;2011;Rupert Wyatt;YES;YES;NO;105;;;
Movie;DVD;Rocketman;2019;Dexter Fletcher;YES;NO;;116;;;
Movie;DVD;Room;2015;Lenny Abrahamson;YES;NO;;113;;;
Movie;DVD;Sanctum;2011;Alister Grierson;YES;NO;;105;;;
Movie;DVD;Shark Tale;2004;Rob Letterman, Bibo Bergeron, Vicky Jenson;YES;NO;;86;;;
Movie;DVD;Sherlock Holmes and the Case of the Silk Stockings;2004;Simon Cellan Jones;YES;NO;;100;;;
Movie;DVD;Shutter Island;2010;Martin Scorsese;YES;NO;;137;;;
Movie;DVD;Sicario;2015;Denis Villeneuve;YES;YES;NO;116;;;
Movie;DVD;Sing;2016;Garth Jennings;YES;YES;NO;104;;;
Movie;DVD;Singin' in the Rain;1952;Stanley Donen, Gene Kelly;NO;NO;;99;;;
Movie;DVD;Sister Act;1992;Emile Ardolino;YES;YES;YES;96;;;
Movie;DVD;Sister Act 2: Back in the Habit;1993;Bill Duke;YES;YES;YES;102;;;
Movie;DVD;Skyfall;2012;Sam Mendes;NO;YES;NO;143;;;
Movie;DVD;Spectre;2015;Sam Mendes;NO;YES;NO;148;;;
Movie;DVD;Spider-Man;2002;Sam Raimi;YES;YES;YES;116;;;
Movie;DVD;Spider-Man 2;2004;Sam Raimi;YES;YES;YES;122;;;
Movie;DVD;Spider-Man 3;2007;Sam Raimi;YES;YES;YES;133;;;
Movie;DVD;Spider-Man: Homecoming;2017;Jon Watts;YES;YES;NO;128;;;
Movie;DVD;Spider-Man: Into the Spider-Verse;2018;Bob Persichetti, Peter Ramsey;YES;YES;YES;112;;;
Movie;DVD;Split;2016;M. Night Shyamalan;YES;YES;YES;112;;;
Series;DVD;Spongebob Squarepants [Season 1];1999;Stephen Hillenburg;YES;YES;YES;10;;;
Series;DVD;Spongebob Squarepants [Season 2];2000;Stephen Hillenburg;YES;YES;YES;10;;;
Series;DVD;Spongebob Squarepants [Season 3];2001;Stephen Hillenburg;YES;YES;YES;10;;;
Series;DVD;Spongebob Squarepants [Season 4];2005;Stephen Hillenburg;YES;YES;YES;10;;;
Series;DVD;Spongebob Squarepants [Season 5];2007;Stephen Hillenburg;YES;YES;YES;10;;;
Series;DVD;Spongebob Squarepants [Season 6];2008;Stephen Hillenburg;YES;YES;YES;10;;;
Series;DVD;Spongebob Squarepants [Season 7];2009;Stephen Hillenburg;YES;YES;YES;10;;;
Series;DVD;Spongebob Squarepants [Season 8];2011;Stephen Hillenburg;YES;YES;YES;10;;;
Movie;BluRay;Star Wars: Episode IX - The Rise of Skywalker;2019;J.J. Abrams;YES;YES;NO;141;;;
Movie;BluRay;Star Wars: Episode VII - The Force Awakens;2015;J.J. Abrams;YES;YES;NO;135;;;
Movie;BluRay;Star Wars: Episode VIII - The Last Jedi;2017;Rian Johnson;YES;YES;NO;152;;;
Movie;DVD;Step Up;2006;Anne Fletcher;YES;YES;YES;98;;;
Movie;DVD;Step Up 2 the Streets;2008;Jon M. Chu;YES;YES;YES;98;;;
Movie;DVD;Step Up 3D;2010;Jon M. Chu;YES;YES;YES;103;;;
Movie;DVD;Step Up All In;2014;Trish Sie;YES;YES;YES;108;;;
Movie;DVD;Step Up Revolution;2012;Scott Speer;YES;YES;YES;95;;;
Movie;DVD;Still Alice;2014;Richard Glatzer, Wash Westmoreland;YES;NO;;97;;;
Movie;DVD;Stronger;2017;David Gordon Green;NO;NO;;114;;;
Movie;DVD;Submergence;2017;Wim Wenders;NO;NO;;107;;;
Movie;DVD;Suicide Squad;2016;David Ayer;YES;NO;;118;;;
Movie;DVD;Suspicion;1941;Alfred Hitchcock;NO;NO;;95;;;
Movie;DVD;Taxi Teheran;2015;Jafar Panahi;YES;NO;;79;;;
Movie;DVD;Tenet;2020;Christopher Nolan;YES;NO;;144;;;
Movie;DVD;Terminal;2018;Vaughn Stein;YES;NO;;91;;;
Movie;DVD;The Accountant;2016;Gavin O'Connor;YES;NO;;122;;;
Movie;DVD;The Aftermath;2019;James Kent;YES;NO;;104;;;
Movie;DVD;The Amazing Spider-Man;2012;Marc Webb;YES;YES;YES;131;;;
Movie;DVD;The Amazing Spider-Man 2;2014;Marc Webb;YES;YES;YES;136;;;
Movie;BluRay;The Big Lebowski;1998;Ethan Coen, Joel Coen;YES;NO;;118;;;
Movie;DVD;The Breakfast Club;1985;John Hughes;YES;NO;;93;;;
Movie;DVD;The Curious Case of Benjamin Button;2009;David Fincher;NO;NO;;159;;;
Movie;DVD;The Da Vinci Code;2006;Ron Howard;YES;YES;NO;167;;;
Movie;DVD;The Dark Knight;2008;Christopher Nolan;YES;YES;YES;146;;;
Movie;DVD;The Dark Knight Rises;2012;Christopher Nolan;YES;YES;YES;160;;;
Movie;BluRay;The Edge of Tomorrow;2014;Doug Liman;YES;NO;;113;;;
Movie;DVD;The Farewell;2019;Lulu Wang;YES;NO;;96;;;
Movie;DVD;The Favourite;2018;Yorgos Lanthimos;YES;NO;;115;;;
Movie;BluRay;The Fighter;2010;David O. Russell;NO;NO;;116;;;
Movie;DVD;The Front Runner;2018;Jason Reitman;YES;NO;;109;;;
Series;DVD;The Good Place [Season 1];2016;Michael Schur;YES;YES;YES;22;;;
Series;DVD;The Good Place [Season 2];2017;Michael Schur;YES;YES;YES;22;;;
Series;DVD;The Good Place [Season 3];2018;Michael Schur;YES;YES;YES;22;;;
Series;DVD;The Good Place [Season 4];2019;Michael Schur;NO;YES;YES;22;;;
Movie;DVD;The Goonies;1985;Richard Donner;NO;NO;;110;;;
Movie;BluRay;The Grand Budapest Hotel;2014;Wes Anderson;YES;NO;;100;;;
Movie;BluRay;The Greatest Showman;2017;Michael Gracey;YES;NO;;105;;;
Movie;DVD;The Help;2011;Tate Taylor;YES;NO;;140;;;
Movie;BluRay;The High Note;2020;Nisha Ganatra;NO;NO;;113;;;
Movie;DVD;The Holiday;2006;Nancy Meyers;YES;NO;;128;;;
Movie;DVD;The Hound of the Baskervilles;2002;David Attwood;YES;NO;;91;;;
Movie;DVD;The House with a Clock in its Walls;2018;Eli Roth;YES;NO;;101;;;
Movie;DVD;The Hunger Games;2012;Gary Ross;YES;YES;YES;137;;;
Movie;DVD;The Hunger Games: Catching Fire;2013;Francis Lawrence;YES;YES;YES;141;;;
Movie;DVD;The Hunger Games: Mockingjay - Part 1;2014;Francis Lawrence;YES;YES;YES;118;;;
Movie;DVD;The Hunger Games: Mockingjay - Part 2;2015;Francis Lawrence;YES;YES;YES;132;;;
Movie;DVD;The Huntsman: Winter's War;2016;Cedric Nicolas-Troyan;YES;YES;NO;109;;;
Movie;DVD;The Hustle;2019;Chris Addison;YES;NO;;90;;;
Movie;DVD;The Imitation Game;2014;Morten Tyldum;YES;NO;;110;;;
Movie;DVD;The Intern;2015;Nancy Meyers;YES;NO;;117;;;
Movie;DVD;The Iron Lady;2017;Phyllida Lloyd;NO;;;105;;;
Movie;BluRay;The Karate Kid;2010;Harald Zwart;YES;NO;;140;;;
Movie;BluRay;The Last Duel;2021;Ridley Scott;YES;NO;;152;;Jodie Comer;
Movie;DVD;The Last King of Scotland;2007;Kevin Macdonald;NO;NO;;118;;;
Movie;BluRay;The Legend of Tarzan;2016;David Yates;YES;NO;;110;;;
Movie;BluRay;The Light Between Oceans;2016;Derek Cianfrance;NO;NO;;133;;;
Movie;DVD;The Lost World: Jurassic Park;1997;Steven Spielberg;YES;YES;YES;129;;;
Movie;BluRay;The Martian;2015;Ridley Scott;YES;NO;;142;;;
Movie;DVD;The Mauritanian;2021;Kevin Macdonald;YES;NO;;124;;;
Movie;DVD;The Maze Runner;2014;Wes Ball;YES;YES;NO;109;;;
Movie;DVD;The Mirror Crack'd;1980;Guy Hamilton;YES;NO;;101;;;
Movie;DVD;The Mummy;1999;Stephen Sommers;NO;NO;;120;;;
Series;BluRay;The Night Manager;2016;David Farr;YES;NO;;60;;;
Movie;BluRay;The Nutcracker and the Four Realms;2018;Lasse Hallström;YES;NO;;99;;;
Movie;DVD;The Second Best Exotic Marigold Hotel;2015;John Madden;NO;YES;NO;119;;;
Movie;DVD;The Shape of Water;2017;Guillermo del Toro;YES;NO;;118;;;
Movie;DVD;The Simpsons Movie;2007;David Silverman;YES;NO;;83;;;
Movie;DVD;The Sound of Music;1965;Robert Wise;YES;NO;;168;;;
Movie;DVD;The SpongeBob SquarePants Movie;2004;Stephen Hillenburg, Mark Osborne;YES;NO;;83;;;
Movie;BluRay;The Suicide Squad;2021;James Gunn;YES;NO;;132;;;
Movie;DVD;The Theory of Everything;2014;James Marsh;YES;NO;;118;;;
Movie;DVD;The Truman Show;1998;Peter Weir;YES;NO;;99;;;
Movie;DVD;The Zookeeper's Wife;2017;Niki Caro;YES;NO;;122;;;
Movie;DVD;They;2001;Robert Harmon;NO;NO;;90;;;
Movie;BluRay;Thor: Ragnarok;2017;Taika Waititi;YES;YES;NO;130;;;
Movie;BluRay;Tomb Raider;2018;Roar Uthaug;YES;NO;;118;;;
Movie;DVD;Top Gun;1986;Tony Scott;NO;YES;NO;105;;;
Movie;DVD;Toy Story;1995;John Lasseter;YES;YES;NO;78;;;
Movie;DVD;Toy Story 2;1999;John Lasseter;YES;YES;NO;89;;;
Movie;DVD;Toy Story 3;2010;Lee Unkrich;YES;YES;NO;98;;;
Movie;DVD;Trolls;2016;Mike Mitchell;YES;YES;NO;88;;;
Movie;DVD;True Grit;2010;Ethan Coen, Joel Coen;YES;NO;;106;;;
Movie;DVD;Unbreakable;2000;M. Night Shyamalan;YES;YES;YES;102;;;
Movie;DVD;Up in the Air;2009;Jason Reitman;YES;NO;;105;;;
Movie;DVD;Us;2019;Jordan Peele;YES;NO;;111;;;
Movie;DVD;Venom;2018;Ruben Fleischer;YES;YES;NO;108;;;
Movie;DVD;Vice;2018;Adam McKay;YES;NO;;129;;;
Movie;DVD;Waking Ned Devine;1998;Kirk Jones;YES;NO;;87;;;
Movie;BluRay;War for the Planet of the Apes;2017;Matt Reeves;YES;YES;NO;140;;;
Series;DVD;Watchmen;2019;Damon Lindelof;YES;NO;;56;;;
Movie;DVD;We're the Millers;2013;Rawson Marshall Thurber;YES;NO;;106;;;
Movie;DVD;Where'd you go, Bernadette;2019;Richard Linklater;YES;NO;;105;;;
Movie;BluRay;Whiplash;2014;Damien Chazelle;YES;NO;;107;;;
Movie;DVD;Whiskey Tango Foxtrot;2016;Glenn Ficarra, John Requa;YES;NO;;107;;;
Movie;DVD;Who Am I;2014;Baran bo Odar;YES;NO;;102;;;
Movie;DVD;Widows;2018;Steve McQueen;YES;NO;;124;;;
Movie;BluRay;Winchester;2018;Michael Spierig, Peter Spierig;NO;NO;;109;;;
Movie;DVD;Wind River;2017;Taylor Sheridan;NO;NO;;103;;;
Movie;DVD;Wonder Woman;2017;Patty Jenkins;YES;YES;YES;135;;;
Movie;BluRay;Wonder Woman 1984;2020;Patty Jenkins;NO;YES;YES;153;;;
Movie;DVD;World War Z;2013;Marc Forster;YES;NO;;112;;;
Movie;DVD;X-Men;2000;Bryan Singer;YES;YES;YES;100;;;
Movie;DVD;X-Men United;2003;Bryan Singer;YES;YES;YES;128;;;
Movie;DVD;X-Men: Apocalypse;2016;Bryan Singer;YES;YES;YES;138;;;
Movie;DVD;X-Men: Dark Pheonix;2019;Simon Kinberg;YES;YES;YES;109;;;
Movie;DVD;X-Men: Days of Future Past;2014;Bryan Singer;YES;YES;YES;126;;;
Movie;DVD;X-Men: First Class;2011;Matthew Vaughn;YES;YES;YES;126;;;
Movie;DVD;X-Men: The Last Stand;2006;Brett Ratner;YES;YES;YES;100;;;
Movie;BluRay;Z for Zachariah;2015;Craig Zobel;YES;NO;;98;;;
Movie;BluRay;Zero Dark Thirty;2012;Kathryn Bigelow;YES;NO;;157;;;
Movie;DVD;Zombieland;2009;Ruben Fleischer;YES;YES;YES;84;;;
Movie;BluRay;Zombieland: Double Tap;2019;Ruben Fleischer;YES;YES;YES;99;;;
Movie;DVD;Zootopia;2016;Byron Howard, Rich Moore;YES;NO;;104;;;
